# index, airport_code, airport_id, airport_seq_id, city_market_id, origin, city_name, state_abr, state_fips, state_nm, wac, _pos
428,HKY,12149,1214901,32149,,"Hickory, NC",NC,37,North Carolina,36,"array([-3.25533388,  1.28840357])"
429,PLN,14150,1415001,34150,,"Pellston, MI",MI,26,Michigan,43,"array([-3.25169693,  1.20183892])"
430,RHI,14520,1452001,34520,,"Rhinelander, WI",WI,55,Wisconsin,45,"array([-3.23932768,  1.17899531])"
431,NZY,13791,1379101,33570,,"San Diego, CA",CA,06,California,91,"array([-3.09259377,  1.22580349])"
432,FOD,11725,1172501,31725,,"Fort Dodge, IA",IA,19,Iowa,61,"array([-3.11283301,  1.2063927 ])"
433,ILN,12324,1232401,32324,,"Wilmington, OH",OH,39,Ohio,44,"array([-3.17491361,  1.18124637])"
434,IAG,12265,1226505,32265,,"Niagara Falls, NY",NY,36,New York,22,"array([-3.22578201,  1.24683449])"
435,DHN,11308,1130801,31308,,"Dothan, AL",AL,01,Alabama,51,"array([-3.23309098,  1.24173079])"
436,TVF,15381,1538101,35381,,"Thief River Falls, MN",MN,27,Minnesota,63,"array([-3.1145456 ,  1.18119222])"
437,GOL,11959,1195902,31959,,"Gold Beach, OR",OR,41,Oregon,92,"array([-3.38521775,  1.17521008])"
438,MLT,13376,1337601,33376,,"Millinocket, ME",ME,23,Maine,12,"array([-2.83195621,  1.32702209])"
439,NHK,13671,1367101,33671,,"Patuxent River, MD",MD,24,Maryland,35,"array([-2.85756449,  1.37498344])"
440,ESC,11587,1158702,31587,,"Escanaba, MI",MI,26,Michigan,43,"array([-3.2174361 ,  1.23921177])"
441,GWO,12039,1203904,32039,,"Greenwood, MS",MS,28,Mississippi,53,"array([-3.45694747,  1.26380288])"
442,DUG,11440,1144001,31440,,"Douglas, AZ",AZ,04,Arizona,81,"array([-3.14726126,  1.51555561])"
443,EAU,11471,1147103,31471,,"Eau Claire, WI",WI,55,Wisconsin,45,"array([-3.24209945,  1.17030145])"
444,TEB,15167,1516701,35167,,"Teterboro, NJ",NJ,34,New Jersey,21,"array([-3.23136612,  1.26794263])"
445,PGV,14092,1409205,34092,,"Greenville, NC",NC,37,North Carolina,36,"array([-3.16259813,  1.25467172])"
446,CHD,10982,1098201,30982,,"Chandler, AZ",AZ,04,Arizona,81,"array([-3.29009485,  1.11271387])"
447,BTT,10783,1078302,30783,,"Bettles, AK",AK,02,Alaska,1,"array([-3.04907279,  1.12131647])"
448,AKP,10247,1024702,30247,,"Anaktuvuk Pass, AK",AK,02,Alaska,1,"array([-3.07025043,  1.12027815])"
449,AOO,10322,1032201,30322,,"Altoona, PA",PA,42,Pennsylvania,23,"array([-3.23395838,  1.27564172])"
450,MMI,13389,1338902,33389,,"Athens, TN",TN,47,Tennessee,54,"array([-3.36995849,  1.24693106])"
